,name,class,subclass
1342,丝路春酒,：含酒精饮料,：蒸馏酒
1343,特制汉酒(59.9度),：含酒精饮料,：蒸馏酒
1344,特制三粮酒(56.2度),：含酒精饮料,：蒸馏酒
1345,乌林春酒(青稞酒),：含酒精饮料,：蒸馏酒
1346,五酿春(44.4度),：含酒精饮料,：蒸馏酒
1347,小麦酒(48度),：含酒精饮料,：蒸馏酒
1348,小麦酒(50度),：含酒精饮料,：蒸馏酒
1349,燕岭春(57度),：含酒精饮料,：蒸馏酒
1350,醉流霞(57度),：含酒精饮料,：蒸馏酒
1351,甘蔗汁,：饮料类,：果汁及果汁饮料
1352,生抽,：上等生抽。,味品类
1353,酸梅晶,：饮料类,：固体饮料
1354,菊花[怀菊花],：其它,：
1355,茶（绿茶）,：饮料类,：茶叶及茶饮料
